variablename,short description,years,longer description,sources 
c_ce_i,Cash + cash equivalents + investments (in thousands $),2014,A state’s cash + cash equivalents + investments (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
c_ce_i_r,Cash + cash equivalents + investments + receivables (in thousands $),2014,"A state’s cash + cash equivalents + investments + receivables (in thousands
$)","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
cash_index,Cash solvency,2014,A state’s standardized cash solvency index,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
cash_ratio,Cash ratio,2014,"A state’s cash ratio:
(cash + cash equivalents + investments)/current liabilities
Higher ratio indicates greater cash solvency","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
change_in_net_assets,Change in net assets,2014,A state’s change in net assets,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
current_liabilities,Current liabilities (in thousands $),2014,A state’s current liabilities (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
current_ratio,Current ratio,2014,"A state’s current ratio:
(current assets / current liabilities)
Higher ratio indicates greater solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
exp_income_ratio,Expenses to income ratio,2014,"A state’s expenses to income ratio:
Total expenses/state personal income
Higher value indicates lower service-level solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
fisc_cond_w_trust_fund,Fiscal condition with trust fund solvency,2014,"A state’s standardized fiscal condition index, weighted by 35% cash index, 35% budget index, 10% long run index, 10% service level index, and 10% trust fund index.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
long_term_liab,Long-term liability ratio,2014,"A state’s long-term liability ratio:
long-term (noncurrent) liabilities / total assets
Lower value indicates greater long-run solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
lr_solvencyindex,Long run solvency,2014,A state’s standardized long run solvency index,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
lt_percapita,Long-term liability per capita,2014,"A state’s long-term liability per capita:
Long-term (noncurrent) liabilities / population
Lower value indicates greater long-run solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
net_asst_rat,Net asset ratio,2014,"A state’s net asset ratio:
restricted and unrestricted net assets / total assets
Higher ratio indicates stronger long-run solvency","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
noncurrent_liabilities,Non-current liabilities (in thousands $),2014,A state’s non-current liabilities (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
noncurrent_liabilities2,Non-current liabilities,2014,A state’s non-current liabilities,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
op_ratio,Operating ratio,2014,"A state’s operating ratio:
total revenues / total expenses
One or greater indicates budget solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
opeb_income_ratio,OPEB to income ratio,2014,"A state’s other post-employment benefits to income ratio:
OPEB / state personal income
Higher value indicates lower trust fund solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
pension_income_ratio,Unfunded pension to income ratio,2014,"A state’s unfunded pension to income ratio:
unfunded pension liability / state personal income
Higher value indicates lower trust fund solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
primary_debt_income_ratio,Debt to income ratio,2014,"A state’s debt to income ratio:
total primary government debt / state personal income
Higher value indicates lower trust fund solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
primary_gov_debt,Primary government debt,2014,A state’s primary government debt,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
quick_ratio,Quick ratio,2014,"A state’s quick ratio: (cash + cash equivalents + investments
+ receivables) / current liabilities
Higher ratio indicates greater cash solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
restricted_net_assets,Restricted assets (in thousands $),2014,"A state’s restricted assets (in thousands
$)","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
rev_income_ratio,Revenue to income ratio,2014,"A state’s revenue to income ratio:
total revenues / state personal income
Higher value indicates lower service- level solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
ser_lvl_solv,Service level solvency,2014,A state’s standardized service level solvency index,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
surplus_percap,Surplus or deficit per capita,2014–2016,"A state’s surplus or deficit per capita:
change in net assets / population
Positive ratio indicates budget solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf.
Coded years 2015–2016 using the following code: (General_revenue – general_expenditure)/ pop_annual"
tax_income_ratio,Tax to income ratio,2014,"A state’s tax to income ratio: total taxes / state personal income
Higher value indicates lower service- level solvency.","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_assets,Total assets (in thousands $),2014,A state’s total assets (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_current_assets,Total current assets (in thousands $),2014,A state’s total current assets (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_expenses,Total expenses,2014,A state’s total expenses,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_liabilities,Total liabilities (in thousands $),2014,"A state’s total liabilities (in thousands
$)","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_net_assets,Total net assets (in thousands $),2014,"A state’s total net assets (in thousands
$)","Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_revenue_mercatus,Total revenue,2014,A state’s total revenue,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
total_taxes,Total taxes,2014,A state’s total taxes,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
trust_fund_solv,Trust fund solvency,2014,A state’s standardized trust fund solvency index,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
uaal_opeb,Unfunded actuarial accrued liability for other post- employment benefits,2014,A state’s unfunded actuarial accrued liability for other post-employment benefits,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
uaal_pension,Unfunded actuarial accrued liability for pensions,2014,A state’s unfunded actuarial accrued liability for pensions,"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
"unrestricted_net
_assets",Unrestricted assets (in thousands $),2014,A state’s unrestricted assets (in thousands $),"Norcross, Eileen and Olivia Gonzalez. 2016. 'Ranking the States by Fiscal Condition.' 2016 edition. Arlington, VA: Mercatus Research, Mercatus Center at George Mason University. http://mercatus.org/sites/default/files/Norcross-Fiscal-Rankings-2-v2_1.pdf."
change_amustax,Change in amusement tax revenues from previous year,1995–2014,Year over year percentage change in amusement tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_bustax_other,Change in other business taxes and fees revenue from previous year,1995–2014,Year over year percentage change in revenue from other business taxes and fees (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_corplicrev,Change in corporate licenses revenue from previous year,1995–2014,Year over year percentage change in corporate license revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_corptax,Change in corporate income tax revenues from previous year,1995–2014,Year over year percentage change in corporate income tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_docstocktax,Change in document and stock transfers tax revenues from previous year,1995–2014,Year over year percentage change document and stock transfer revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_fueltax,Change in fuel tax revenue from previous year,1995–2014,Year over year percentage change in fuel tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_incometax,Change in personal income tax revenue from previous year,1995–2014,Year over year percentage change in personal income tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_proptax,Change in property tax revenue from the previous year,1995–2014,Year over year percentage change in property tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_salestax,Change in sales tax revenue from previous year,1995–2014,Year over year percentage change in sales tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_sevtax,Change in severance tax revenue from previous year,1995–2014,Year over year percentage change in severance tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_stincometax,Change in personal state income tax revenue from previous year,1995–2014,Year over year percentage change in personal state income tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_tobtax,Change in tobacco tax revenue from previous year,1995–2014,Year over year percentage change in tobacco tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_utiltax,Change in public utility tax revenues from previous year,1995–2014,Year over year percentage change in utility tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
change_vehtax,Change in motor vehicles tax revenue from previous year,1995–2014,Year over year percentage change in motor vehicle tax revenue (note controlled for impact of tax policy),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
dayreserve_genfund,Days’ worth of general Fund expenditures in reserve,2000–2015,State reserves as a share of daily general expenditures,"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: The Fiscal Survey of States: National Association of State Budget Offices"
employ_pop,Rolling employment to population ratio,2008–2015,"Ratio of employed people among civilian, noninstitutionalized 25 to 54 year olds (annualized average of four quarters)","Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Current Population Survey: BLS/Census Bureau"
endingbal_rainyday,Ending balance plus rainy day funds,2000–2015,Sum of general fund ending balances plus rainy day fund ending balances (in millions),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: The Fiscal Survey of States: National Association of State Budget Offices"
fedshare_rev,Federal share of state revenue,2000–2014,Federal revenue as a share of total state revenue,"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Census: State Govt Tax Collections"
med_spending_own,Medicaid spending divided by own- source revenue,2000–2014,State funded Medicaid spending as a share of own-source revenue (general revenue-federal funds),"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: Centers for Medicare & Medicaid Services, Census: Annual Survey of State Govt Finances"
res_genfund,Reserves as a percent of general fund expenditures,2000–2015,"Reserves as a percent of general fund expenditures
reserves / general fund expenditures","Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: The Fiscal Survey of States: National Association of State Budget Offices"
spending_fedfunds_perincome,Federal spending over total state personal income,1993–2012,Spending from federal funds as a share of state personal income,"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: US Census Annual Survey of State Government Finances & US BEA Regional Economic Accounts"
spending_stfunds_perincome,State spending over total state personal income,1993–2012,Spending from state funds as a share of state personal income,"Pew Charitable Trusts, 2016. Fiscal 50: State Trends and Analysis.
Source: US Census Annual Survey of State Government Finances & US BEA Regional Economic Accounts"
taxcapacityindex,State tax capacity index,1960–1991,Estimate of state values on the ACIR’s (Advisory Commission on Intergovernmental Relations) tax capacity index.,"Berry, William D. and Richard C. Fording. 'Measuring State Tax Capacity and Effort.' Social Science Quarterly 78 (2007): 158–66.
http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/1124?q=Richard+Fordi ng&permit%5B0%5D=AVAILABLE"
taxeffortindex,State tax effort index,1960–1991,Estimate of state values on the ACIR’s (Advisory Commission on Intergovernmental Relations) tax effort index.,"Berry, William D. and Richard C. Fording. 'Measuring State Tax Capacity and Effort.' Social Science Quarterly 78 (2007): 158–66. http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/1124?q=Richard+Fordi ng&permit%5B0%5D=AVAILABLE"
bus_rank_cnbc,CNBC best state to do business in ranking,2007–2012,Rank in CNBC’s analysis of the best states to conduct business in.,"CNBC. 'America’s Top States for Business.'
Provided by: Pallay, Geoff. 2012. Ballotpedia and The Lucy Burns Institute."
bus_rank_forbes,Forbes best state to do business in ranking,2006–2012,Rank in Forbes’ analysis of the best states to conduct business in.,"Forbes. 'Best States for Business.'
Provided by: Pallay, Geoff. 2012. Ballotpedia and The Lucy Burns Institute."
sp_credit,S&P state credit rating rank,2001–2012,"Ranking of states from best to worst bond rating, according to Standard and Poor’s","Provided by: Pallay, Geoff. 2012. Ballotpedia and The Lucy Burns Institute."
cash_assist_percap,Cash assistance spending,1976–2006,Total state cash assistance spending per capita,"Hayes, Thomas J., and D. Xavier Medina Vidal. 'Fiscal Policy and Economic Inequality in the U.S. States: Taxing and Spending from 1976 to 2006.' Political Research Quarterly 68.2 (2015): 392–407."
"unemploy_comp
_percap",Unemployment compensation spending,1976–2006,Total state unemployment compensation spending per capita,"Hayes, Thomas J., and D. Xavier Medina Vidal. 'Fiscal Policy and Economic Inequality in the U.S. States: Taxing and Spending from 1976 to 2006.' Political Research Quarterly 68.2 (2015): 392–407."
welfare_spending_percap,Welfare spending,1976–2006,Total state welfare spending per capita,"Hayes, Thomas J., and D. Xavier Medina Vidal. 'Fiscal Policy and Economic Inequality in the U.S. States: Taxing and Spending from 1976 to 2006.' Political Research Quarterly 68.2 (2015): 392–407."
gsppcap,Gross state product per capita,1987–2010,Per capita GDP by state is the state counterpart of the nation’s gross domestic product (GDP) divided by the residents of the state. Current dollars per state resident. Per capita GDP by state is derived as the sum of the GDP originating in all the industries in a state divided by the population of the state.,"US Department of Commerce Bureau of Economic Analysis. 2012. 'NAICS Per Capita GDP by state/SIC Per Capita GDP by state.' Accessed at: http://www.bea.gov/regional/downloadzip.cfm.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: There is a discontinuity in the GDP-by-state time series at 1997, where the data change from SIC industry definitions to NAICS industry definitions. This discontinuity results from many sources, including differences in source data and different estimation methodologies. In addition, the NAICS-based GDP-by-state estimates are consistent with U.S. gross domestic product (GDP) while the SIC-based GDP-by-state estimates are consistent with U.S. gross domestic income (GDI). This data discontinuity may affect both the levels and the growth rates of the GDP-by-state estimates. NAICS industry defined data was used for 1997."
gsptotal,Gross state product total,1963–2016,GDP by state is the state counterpart of the nation’s gross domestic product (GDP). GDP by state is derived as the sum of the GDP originating in all the industries in a state (in millions of current dollars),"US Department of Commerce Bureau of Economic Analysis. 2012. 'NAICS Per Capita GDP by state/SIC Per Capita GDP by state.' Accessed at: http://www.bea.gov/regional/downloadzip.cfm.
Note: There is a discontinuity in the GDP-by-state time series at 1997, where the data change from SIC industry definitions to NAICS industry definitions. This discontinuity results from many sources, including differences in source data and different estimation methodologies. In addition, the NAICS-based GDP-by-state estimates are consistent with U.S. gross domestic product (GDP) while the SIC-based GDP-by-state estimates are consistent with U.S. gross domestic income (GDI). This data discontinuity may affect both the levels and the growth rates of the GDP-by-state estimates. NAICS industry defined data was used for 1997."
incomepcap,Income per capita,1929–2010,Per capita personal income is the income that is received by persons from all sources. Total personal income divided by total midyear population.,"U.S. Department of Commerce, Bureau of Economic Analysis. 'SA1-3 Personal income summary.' Accessed at: http://www.bea.gov/iTable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1 &isuri=1.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: This measure of income is calculated as the personal income of the residents of a given area divided by the resident population of the area. In computing per capita personal income, BEA uses the Census Bureau's annual midyear population estimates."
pctwomenearn,Women’s earnings as a percent of men’s,2002–2011,Percent of women’s median weekly earnings as a percent of men’s (all races). Data calculated from median usual weekly earnings of full-time wage and salary workers.,"U.S. Bureau of Labor Statistics. 2016. 'Women’s Earnings as a Percent of Men’s Earnings.' Accessed at: http://www.bls.gov/cps/earnings.htm#demographics.
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: In general, the sampling error for the state estimates is considerably larger than it is for the national estimates; thus, comparisons of state estimates should be made with caution. Data measure usual hourly and weekly earnings of wage and salary workers. All self-employed persons are excluded, regardless of whether their businesses are incorporated. Data represent earnings before taxes and other deductions and include any overtime pay, commissions, or tips usually received. The earnings data are collected from one-fourth of the CPS total sample of approximately 60,000 households."
unemployment,Employment status of the civilian noninstitutional population,"1975–2004;
2005–2017","Unemployment rate, measured as percentage of state’s labor force that is out of work.","Bureau of Labor Statistics. 2012. 'Labor Force Statistics from the Current Population Survey.'
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
For 2005–2017: University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
bankrupt,Number of bankruptcy filings in state,1999–2009,This variable displays the total number of bankruptcy case filings in each state for calendar years 1999–2009. The value in each year is calculated by taking the sum of bankruptcy cases that were filed in each state.,"The United States Department of Justice. 2012. 'Total Case Filings, Calendar Years 1999-2009.' Accessed at: https://www.justice.gov/ust/bankruptcy-data- statistics
Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: Source of filing data is the Administrative Office of the U.S. Courts. The substantial decrease in 2006 across all states is mainly due to the introduction of the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005."
foodstampben,Food stamp benefits,2002–2011,"Average monthly food stamp benefits per person in a fiscal year. Food stamps are defined as a federal entitlement program providing credit to purchase food items for people earning less than 130% of the federal poverty line. The federal fiscal year runs from October 1 through September 30. (Avg. dollars per participant.) The number of persons participating is reported monthly.
Annual averages are the sums divided by twelve.","Kaiser Family Organization. 2016. 'Average Monthly Food Stamp Benefits per Participant.' Accessed at: http://kff.org/other/state-indicator/avg- monthly-food-stamp-benefits/. Originally provided by Stateminder: A data visualization project from Georgetown University. http://stateminder.org/ (no longer accessible online)
Note: In 2008, the 'Food Stamp' program was re-named SNAP: Supplemental Nutrition Assistance Program. The name change reflects the program’s focus on nutrition and putting healthy food within reach for low income households. 2011 data are preliminary. Generally SNAP households must have monthly gross income less than 130 percent of the Federal poverty guidelines ($2,422 for a family of four in fiscal year 2012), monthly net income less than 100 percent of the poverty guidelines, and assets of less than $2,000. SNAP clients can buy all foods carrying a nutrition facts label and intended to be eaten at home. Some items, such as alcoholic beverages, cigarettes, vitamins or medicines and pet foods are not allowed."
statemin,State minimum wage,1980–2017,State minimum wage in dollars.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
employed,Employed population (total number),1980–2017,Total number of people employed within the state.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
unemployed,Unemployed population (total number),1980–2017,Total number of people unemployed within the state.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
afdc_case,"AFDC/TANF
caseloads",1980–2017,Average monthly number of total family caseloads for AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
afdc_rep,"AFDC/TANF
recipients",1980–2017,Average monthly number of total recipients of AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
afdccases_childonly,"AFDC/TANF
child-only caseloads",1985–2017,Average monthly number of total no- parent (child-only) caseloads for AFDC/TANF within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
marginallyfoodinsecure,Marginally food insecure,2001–2017,"Proportion of individuals deemed marginally food insecure (i.e., answer 'yes' to at least one question from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
foodinsecure,Food insecure,2001–2017,"Proportion of individuals deemed food insecure (i.e., answer 'yes' to at least three questions from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
verylowfoodsecure,Very low food insecure,2001–2017,"Proportion of individuals deemed very low food insecure (i.e., answer 'yes' to at least eight questions from the Core Food Security Model, Current Population Survey)","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
